1.Delimiter     2.Key     3.Operator     4.Number     5.Identifier
ID        value                    type      row       StatementID
1         void                     2         1         0
2         main                     2         1         0
3         (                        1         1         0
4         )                        1         1         0
5         {                        1         2         0
6         int                      2         3         0
7         a                        5         3         1
8         ,                        3         3         0
9         int                      2         3         0
10        b                        5         3         2
11        ,                        3         3         0
12        int                      2         3         0
13        i                        5         3         3
14        ,                        3         3         0
15        int                      2         3         0
16        j                        5         3         4
17        ,                        3         3         0
18        int                      2         3         0
19        k                        5         3         5
20        ;                        1         3         0
21        a                        5         4         0
22        =                        3         4         0
23        3                        4         4         0
24        ,                        3         4         0
25        b                        5         4         0
26        =                        3         4         0
27        3                        4         4         0
28        ;                        1         4         0
29        if                       2         5         0
30        (                        1         5         0
31        a                        5         5         0
32        >                        3         5         0
33        3                        4         5         0
34        )                        1         5         0
35        {                        1         5         0
36        }                        1         5         0
37        ,                        3         6         0
38        while                    2         7         0
39        (                        1         7         0
40        a                        5         7         0
41        <                        3         7         0
42        5                        4         7         0
43        )                        1         7         0
44        {                        1         8         0
45        a                        5         10        0
46        =                        3         10        0
47        a                        5         10        0
48        +                        3         10        0
49        1                        4         10        0
50        ;                        1         10        0
51        for                      2         11        0
52        (                        1         11        0
53        j                        5         11        0
54        =                        3         11        0
55        0                        4         11        0
56        ;                        1         11        0
57        j                        5         11        0
58        <                        3         11        0
59        3                        4         11        0
60        ;                        1         11        0
61        j                        5         11        0
62        =                        3         11        0
63        j                        5         11        0
64        +                        3         11        0
65        1                        4         11        0
66        )                        1         11        0
67        {                        1         12        0
68        b                        5         13        0
69        =                        3         13        0
70        b                        5         13        0
71        *                        3         13        0
72        5                        4         13        0
73        ;                        1         13        0
74        }                        1         14        0
75        ,                        3         15        0
76        if                       2         16        0
77        (                        1         16        0
78        a                        5         16        0
79        >                        3         16        0
80        8                        4         16        0
81        )                        1         16        0
82        {                        1         17        0
83        b                        5         18        0
84        =                        3         18        0
85        a                        5         18        0
86        +                        3         18        0
87        1                        4         18        0
88        ;                        1         18        0
89        }                        1         19        0
90        ,                        3         20        0
91        while                    2         21        0
92        (                        1         21        0
93        b                        5         21        0
94        <                        3         21        0
95        30                       4         21        0
96        )                        1         21        0
97        {                        1         22        0
98        a                        5         24        0
99        =                        3         24        0
100       a                        5         24        0
101       *                        3         24        0
102       b                        5         24        0
103       ;                        1         24        0
104       for                      2         25        0
105       (                        1         25        0
106       k                        5         25        0
107       =                        3         25        0
108       0                        4         25        0
109       ;                        1         25        0
110       k                        5         25        0
111       <                        3         25        0
112       4                        4         25        0
113       ;                        1         25        0
114       k                        5         25        0
115       =                        3         25        0
116       k                        5         25        0
117       +                        3         25        0
118       1                        4         25        0
119       )                        1         25        0
120       {                        1         26        0
121       }                        1         28        0
122       }                        1         29        0
123       }                        1         31        0
124       ,                        3         32        0
125       if                       2         33        0
126       (                        1         33        0
127       a                        5         33        0
128       ==                       3         33        0
129       b                        5         33        0
130       )                        1         33        0
131       {                        1         34        0
132       a                        5         35        0
133       =                        3         35        0
134       a                        5         35        0
135       *                        3         35        0
136       a                        5         35        0
137       ;                        1         35        0
138       }                        1         36        0
139       }                        1         37        0
140       #                        1         38        0
